Wavelength_nm	Excitation	Emission
350	0	0
351	0	0
352	0	0
353	0	0
354	0	0
355	0	0
356	0	0
357	0	0
358	0	0
359	0	0
360	0	0
361	0	0
362	0	0
363	0	0
364	0	0
365	0	0
366	0	0
367	0	0
368	0	0
369	0	0
370	0	0
371	0	0
372	0	0
373	0	0
374	0	0
375	0	0
376	0	0
377	0	0
378	0	0
379	0	0
380	0	0
381	0	0
382	0	0
383	0	0
384	0	0
385	0	0
386	0	0
387	0	0
388	0	0
389	0	0
390	0	0
391	0	0
392	0	0
393	0	0
394	0	0
395	0	0
396	0	0
397	0	0
398	0	0
399	0	0
400	0.046	0
401	0.044599999	0
402	0.043200001	0
403	0.041900001	0
404	0.0405	0
405	0.0392	0
406	0.037900001	0
407	0.036699999	0
408	0.035500001	0
409	0.034299999	0
410	0.033199999	0
411	0.032200001	0
412	0.031199999	0
413	0.030300001	0
414	0.0295	0
415	0.0287	0
416	0.028000001	0
417	0.0273	0
418	0.026799999	0
419	0.0263	0
420	0.025800001	0
421	0.0254	0
422	0.0251	0
423	0.024800001	0
424	0.024599999	0
425	0.024499999	0
426	0.0244	0
427	0.0244	0
428	0.024499999	0
429	0.024599999	0
430	0.024700001	0
431	0.024900001	0
432	0.0251	0
433	0.0254	0
434	0.025699999	0
435	0.026000001	0
436	0.0263	0
437	0.026699999	0
438	0.027100001	0
439	0.0275	0
440	0.027899999	0
441	0.0283	0
442	0.0287	0
443	0.029100001	0
444	0.0295	0
445	0.029899999	0
446	0.030300001	0
447	0.0306	0
448	0.030999999	0
449	0.031399999	0
450	0.0317	0
451	0.032099999	0
452	0.032400001	0
453	0.0328	0
454	0.033100002	0
455	0.033399999	0
456	0.033799998	0
457	0.0341	0
458	0.034499999	0
459	0.0348	0
460	0.0352	0
461	0.035500001	0
462	0.0359	0
463	0.0363	0
464	0.036600001	0
465	0.037	0
466	0.0374	0
467	0.037799999	0
468	0.038199998	0
469	0.038699999	0
470	0.039099999	0
471	0.0396	0
472	0.040199999	0
473	0.0407	0
474	0.041299999	0
475	0.041999999	0
476	0.0427	0
477	0.043499999	0
478	0.044399999	0
479	0.045400001	0
480	0.046399999	0
481	0.047600001	0
482	0.048799999	0
483	0.0502	0
484	0.0517	0
485	0.053300001	0
486	0.055	0
487	0.056899998	0
488	0.058899999	0
489	0.061000001	0
490	0.063299999	0
491	0.065700002	0
492	0.0682	0
493	0.070799999	0
494	0.0735	0
495	0.076300003	0
496	0.0792	0
497	0.082199998	0
498	0.085299999	0
499	0.088500001	0
500	0.091700003	0
501	0.095100001	0
502	0.098499998	0
503	0.102	0
504	0.1055	0
505	0.1091	0
506	0.1129	0
507	0.1166	0
508	0.1205	0
509	0.1244	0
510	0.1284	0
511	0.13249999	0
512	0.1367	0
513	0.1409	0
514	0.1452	0
515	0.1497	0
516	0.1542	0
517	0.15889999	0
518	0.1636	0
519	0.16859999	0
520	0.1736	0
521	0.1789	0
522	0.18430001	0
523	0.1899	0
524	0.1956	0
525	0.2016	0
526	0.2079	0
527	0.21430001	0
528	0.2211	0
529	0.2281	0
530	0.23540001	0
531	0.2431	0
532	0.2511	0
533	0.2595	0
534	0.26840001	0
535	0.27779999	0
536	0.2877	0
537	0.29800001	0
538	0.3087	0
539	0.31979999	0
540	0.3312	0
541	0.34279999	0
542	0.35479999	0
543	0.3669	0
544	0.37920001	0
545	0.39140001	0
546	0.40349999	0
547	0.41530001	0
548	0.42680001	0
549	0.43799999	0.0078999996
550	0.44890001	0.0076000001
551	0.4596	0.0071999999
552	0.4702	0.0068999999
553	0.4806	0.0066999998
554	0.49039999	0.0065000001
555	0.4993	0.0063
556	0.50700003	0.0063
557	0.51359999	0.0063999998
558	0.5194	0.0066
559	0.5248	0.0070000002
560	0.52990001	0.0074999998
561	0.53500003	0.0082999999
562	0.54009998	0.0092000002
563	0.54549998	0.0104
564	0.55119997	0.0118
565	0.55729997	0.0134
566	0.56370002	0.0152
567	0.5704	0.017100001
568	0.5772	0.019300001
569	0.58410001	0.021500001
570	0.59109998	0.024
571	0.59869999	0.0265
572	0.6074	0.029200001
573	0.61699998	0.032000002
574	0.6268	0.034899998
575	0.63630003	0.037900001
576	0.64579999	0.041099999
577	0.65600002	0.044500001
578	0.66759998	0.048099998
579	0.68129998	0.052000001
580	0.69749999	0.0561
581	0.71520001	0.060400002
582	0.73339999	0.064900003
583	0.75080001	0.069600001
584	0.76740003	0.074500002
585	0.78329998	0.079499997
586	0.79890001	0.084600002
587	0.81459999	0.0898
588	0.83060002	0.095100001
589	0.84689999	0.1006
590	0.86330003	0.1062
591	0.87989998	0.1121
592	0.89649999	0.1184
593	0.91299999	0.125
594	0.92909998	0.1321
595	0.94419998	0.1393
596	0.95789999	0.14650001
597	0.97000003	0.15360001
598	0.98040003	0.1604
599	0.98890001	0.1673
600	0.99529999	0.17460001
601	0.99919999	0.18260001
602	1	0.19149999
603	0.99769998	0.2016
604	0.99260002	0.213
605	0.98509997	0.2255
606	0.97530001	0.2386
607	0.96249998	0.25229999
608	0.9461	0.26620001
609	0.926	0.28049999
610	0.90310001	0.29530001
611	0.87830001	0.31130001
612	0.85299999	0.32870001
613	0.82679999	0.3477
614	0.79909998	0.3682
615	0.76910001	0.3897
616	0.73710001	0.41190001
617	0.7033	0.4346
618	0.66829997	0.45730001
619	0.63279998	0.47979999
620	0.59750003	0.50190002
621	0.56339997	0.5237
622	0.53100002	0.54509997
623	0.50019997	0.56620002
624	0.47080001	0.58710003
625	0.44240001	0.60759997
626	0.4149	0.62800002
627	0.38789999	0.64819998
628	0.36140001	0.66820002
629	0.33520001	0.68790001
630	0.30930001	0.70730001
631	0.2843	0.72640002
632	0.2606	0.74510002
633	0.2386	0.76340002
634	0.2183	0.78109998
635	0.1998	0.79830003
636	0.183	0.81459999
637	0.168	0.83020002
638	0.15459999	0.84509999
639	0.1425	0.85939997
640	0.1314	0.87309998
641	0.121	0.88630003
642	0.111	0.8987
643	0.1013	0.91030002
644	0.092100002	0.92110002
645	0.083499998	0.93110001
646	0.075800002	0.9404
647	0.068899997	0.94910002
648	0.062899999	0.95719999
649	0.057500001	0.9648
650	0.052700002	0.97189999
651	0.0482	0.97850001
652	0.044100001	0.98449999
653	0.0403	0.98970002
654	0.036800001	0.99370003
655	0.033500001	0.99659997
656	0.0305	0.99870002
657	0.027799999	0.99980003
658	0.0253	1
659	0.023	0.99910003
660	0.021	0.99739999
661	0.019200001	0.99479997
662	0.0177	0.99150002
663	0.0164	0.98750001
664	0.0153	0.98280001
665	0.0144	0.97750002
666	0.0136	0.97149998
667	0.0129	0.96499997
668	0.0122	0.95779997
669	0.0115	0.9501
670	0.011	0.9418
671	0.0104	0.93300003
672	0.0098999999	0.92369998
673	0.0094999997	0.91399997
674	0.0091000004	0.90380001
675	0.0086000003	0.89340001
676	0.0082	0.88270003
677	0.0077999998	0.87180001
678	0.0074	0.86070001
679	0.0071	0.84939998
680	0.0066999998	0.838
681	0.0063	0.8265
682	0.0059000002	0.81489998
683	0	0.80320001
684	0	0.79149997
685	0	0.77969998
686	0	0.76800001
687	0	0.75639999
688	0	0.745
689	0	0.73360002
690	0	0.72219998
691	0	0.71060002
692	0	0.69870001
693	0	0.6864
694	0	0.6735
695	0	0.66009998
696	0	0.64660001
697	0	0.63340002
698	0	0.62059999
699	0	0.60860002
700	0	0.59729999
701	0	0.58660001
702	0	0.57620001
703	0	0.5661
704	0	0.55599999
705	0	0.546
706	0	0.53579998
707	0	0.52560002
708	0	0.51529998
709	0	0.50520003
710	0	0.49509999
711	0	0.48519999
712	0	0.4756
713	0	0.46619999
714	0	0.45699999
715	0	0.44800001
716	0	0.4393
717	0	0.43079999
718	0	0.42250001
719	0	0.41440001
720	0	0.40650001
721	0	0.39879999
722	0	0.39120001
723	0	0.3838
724	0	0.37639999
725	0	0.36919999
726	0	0.36210001
727	0	0.35499999
728	0	0.34799999
729	0	0.34099999
730	0	0.33399999
731	0	0.32710001
732	0	0.32030001
733	0	0.3136
734	0	0.30689999
735	0	0.30050001
736	0	0.2942
737	0	0.2881
738	0	0.28209999
739	0	0.2764
740	0	0.271
741	0	0.26570001
742	0	0.2606
743	0	0.25569999
744	0	0.2509
745	0	0.2463
746	0	0.2418
747	0	0.2374
748	0	0.2331
749	0	0.2288
750	0	0.2246
751	0	0.22040001
752	0	0.21619999
753	0	0.2121
754	0	0.2079
755	0	0.20379999
756	0	0.1996
757	0	0.1954
758	0	0.1913
759	0	0.18709999
760	0	0.183
761	0	0.1789
762	0	0.17479999
763	0	0.1707
764	0	0.16680001
765	0	0.163
766	0	0.1593
767	0	0.1557
768	0	0.1523
769	0	0.14910001
770	0	0.1461
771	0	0.1432
772	0	0.14040001
773	0	0.13770001
774	0	0.13510001
775	0	0.13249999
776	0	0.13
777	0	0.1276
778	0	0.1251
779	0	0.1227
780	0	0.1203
781	0	0.1179
782	0	0.1156
783	0	0.1132
784	0	0.1109
785	0	0.1087
786	0	0.1064
787	0	0.1042
788	0	0.102
789	0	0.0999
790	0	0.097800002
791	0	0.095799997
792	0	0.093800001
793	0	0.091799997
794	0	0.089900002
795	0	0.088100001
796	0	0.086300001
797	0	0.084600002
798	0	0.082900003
799	0	0.081200004
800	0	0.079599999
801	0	0.078000002
802	0	0
803	0	0
804	0	0
805	0	0
806	0	0
807	0	0
808	0	0
809	0	0
810	0	0
811	0	0
812	0	0
813	0	0
814	0	0
815	0	0
816	0	0
817	0	0
818	0	0
819	0	0
820	0	0
821	0	0
822	0	0
823	0	0
824	0	0
825	0	0
826	0	0
827	0	0
828	0	0
829	0	0
830	0	0
831	0	0
832	0	0
833	0	0
834	0	0
835	0	0
836	0	0
837	0	0
838	0	0
839	0	0
840	0	0
841	0	0
842	0	0
843	0	0
844	0	0
845	0	0
846	0	0
847	0	0
848	0	0
849	0	0
850	0	0
